"Ngay","ISO_Date","Thu","Loai_Vang","Gia_Mua_VND_Luong","Gia_Ban_VND_Luong","Chenh_Lech_VND_Luong","Gia_Mua_VND_Chi","Gia_Ban_VND_Chi","Gia_The_Gioi_USD_oz","SJC_Mieng_Mua_VND_Luong","SJC_Mieng_Ban_VND_Luong","Cap_Nhat_Luc"
"04/01/2016","2016-01-04","Thứ Hai","Vàng nhẫn SJC 9999",27100000,30100000,3000000,2710000,3010000,1075.1,27600000,30600000,"23:30"
"05/01/2016","2016-01-05","Thứ Ba","Vàng nhẫn SJC 9999",27200000,30200000,3000000,2720000,3020000,1078.4,27700000,30700000,"23:30"
"06/01/2016","2016-01-06","Thứ Tư","Vàng nhẫn SJC 9999",27600000,30600000,3000000,2760000,3060000,1091.9,28100000,31100000,"23:30"
"07/01/2016","2016-01-07","Thứ Năm","Vàng nhẫn SJC 9999",28000000,31000000,3000000,2800000,3100000,1107.7,28500000,31500000,"23:30"
"08/01/2016","2016-01-08","Thứ Sáu","Vàng nhẫn SJC 9999",27800000,30800000,3000000,2780000,3080000,1097.8,28300000,31300000,"23:30"
"11/01/2016","2016-01-11","Thứ Hai","Vàng nhẫn SJC 9999",27700000,30700000,3000000,2770000,3070000,1096.5,28200000,31200000,"23:30"
"12/01/2016","2016-01-12","Thứ Ba","Vàng nhẫn SJC 9999",27400000,30400000,3000000,2740000,3040000,1085.6,27900000,30900000,"23:30"
"13/01/2016","2016-01-13","Thứ Tư","Vàng nhẫn SJC 9999",27500000,30500000,3000000,2750000,3050000,1087.5,28000000,31000000,"23:30"
"14/01/2016","2016-01-14","Thứ Năm","Vàng nhẫn SJC 9999",27100000,30100000,3000000,2710000,3010000,1073.9,27600000,30600000,"23:30"
"15/01/2016","2016-01-15","Thứ Sáu","Vàng nhẫn SJC 9999",27600000,30600000,3000000,2760000,3060000,1091.5,28100000,31100000,"23:30"
"19/01/2016","2016-01-19","Thứ Ba","Vàng nhẫn SJC 9999",27500000,30500000,3000000,2750000,3050000,1089.9,28000000,31000000,"23:30"
"20/01/2016","2016-01-20","Thứ Tư","Vàng nhẫn SJC 9999",28000000,31000000,3000000,2800000,3100000,1107.1,28500000,31500000,"23:30"
"21/01/2016","2016-01-21","Thứ Năm","Vàng nhẫn SJC 9999",27800000,30800000,3000000,2780000,3080000,1099.1,28300000,31300000,"23:30"
"22/01/2016","2016-01-22","Thứ Sáu","Vàng nhẫn SJC 9999",27700000,30700000,3000000,2770000,3070000,1097.2,28200000,31200000,"23:30"
"25/01/2016","2016-01-25","Thứ Hai","Vàng nhẫn SJC 9999",28000000,31000000,3000000,2800000,3100000,1106.2,28500000,31500000,"23:30"
"26/01/2016","2016-01-26","Thứ Ba","Vàng nhẫn SJC 9999",28400000,31400000,3000000,2840000,3140000,1121.7,28900000,31900000,"23:30"
"27/01/2016","2016-01-27","Thứ Tư","Vàng nhẫn SJC 9999",28300000,31300000,3000000,2830000,3130000,1116.1,28800000,31800000,"23:30"
"28/01/2016","2016-01-28","Thứ Năm","Vàng nhẫn SJC 9999",28300000,31300000,3000000,2830000,3130000,1115.6,28800000,31800000,"23:30"
"29/01/2016","2016-01-29","Thứ Sáu","Vàng nhẫn SJC 9999",28300000,31300000,3000000,2830000,3130000,1116.4,28800000,31800000,"23:30"
"01/02/2016","2016-02-01","Thứ Hai","Vàng nhẫn SJC 9999",28600000,31600000,3000000,2860000,3160000,1127.9,29100000,32100000,"23:30"
"02/02/2016","2016-02-02","Thứ Ba","Vàng nhẫn SJC 9999",28600000,31600000,3000000,2860000,3160000,1127.3,29100000,32100000,"23:30"
"03/02/2016","2016-02-03","Thứ Tư","Vàng nhẫn SJC 9999",29000000,32000000,3000000,2900000,3200000,1141.3,29500000,32500000,"23:30"
"04/02/2016","2016-02-04","Thứ Năm","Vàng nhẫn SJC 9999",29400000,32400000,3000000,2940000,3240000,1157.6,29900000,32900000,"23:30"
"05/02/2016","2016-02-05","Thứ Sáu","Vàng nhẫn SJC 9999",29400000,32400000,3000000,2940000,3240000,1157.8,29900000,32900000,"23:30"
"08/02/2016","2016-02-08","Thứ Hai","Vàng nhẫn SJC 9999",30600000,33600000,3000000,3060000,3360000,1197.9,31100000,34100000,"23:30"
"09/02/2016","2016-02-09","Thứ Ba","Vàng nhẫn SJC 9999",30600000,33600000,3000000,3060000,3360000,1198.7,31100000,34100000,"23:30"
"10/02/2016","2016-02-10","Thứ Tư","Vàng nhẫn SJC 9999",30500000,33500000,3000000,3050000,3350000,1194.7,31000000,34000000,"23:30"
"11/02/2016","2016-02-11","Thứ Năm","Vàng nhẫn SJC 9999",32000000,35000000,3000000,3200000,3500000,1247.9,32500000,35500000,"23:30"
"12/02/2016","2016-02-12","Thứ Sáu","Vàng nhẫn SJC 9999",31700000,34700000,3000000,3170000,3470000,1239.1,32200000,35200000,"23:30"
"16/02/2016","2016-02-16","Thứ Ba","Vàng nhẫn SJC 9999",30900000,33900000,3000000,3090000,3390000,1207.9,31400000,34400000,"23:30"
"17/02/2016","2016-02-17","Thứ Tư","Vàng nhẫn SJC 9999",30900000,33900000,3000000,3090000,3390000,1211.1,31400000,34400000,"23:30"
"18/02/2016","2016-02-18","Thứ Năm","Vàng nhẫn SJC 9999",31400000,34400000,3000000,3140000,3440000,1226.1,31900000,34900000,"23:30"
"19/02/2016","2016-02-19","Thứ Sáu","Vàng nhẫn SJC 9999",31500000,34500000,3000000,3150000,3450000,1230.4,32000000,35000000,"23:30"
"22/02/2016","2016-02-22","Thứ Hai","Vàng nhẫn SJC 9999",30900000,33900000,3000000,3090000,3390000,1209.5,31400000,34400000,"23:30"
"23/02/2016","2016-02-23","Thứ Ba","Vàng nhẫn SJC 9999",31300000,34300000,3000000,3130000,3430000,1222.3,31800000,34800000,"23:30"
"24/02/2016","2016-02-24","Thứ Tư","Vàng nhẫn SJC 9999",31700000,34700000,3000000,3170000,3470000,1238.7,32200000,35200000,"23:30"
"25/02/2016","2016-02-25","Thứ Năm","Vàng nhẫn SJC 9999",31700000,34700000,3000000,3170000,3470000,1238.2,32200000,35200000,"23:30"
"26/02/2016","2016-02-26","Thứ Sáu","Vàng nhẫn SJC 9999",31200000,34200000,3000000,3120000,3420000,1219.8,31700000,34700000,"23:30"
"29/02/2016","2016-02-29","Thứ Hai","Vàng nhẫn SJC 9999",31600000,34600000,3000000,3160000,3460000,1233.9,32100000,35100000,"23:30"
"01/03/2016","2016-03-01","Thứ Ba","Vàng nhẫn SJC 9999",31500000,34500000,3000000,3150000,3450000,1230.3,32000000,35000000,"23:30"
"02/03/2016","2016-03-02","Thứ Tư","Vàng nhẫn SJC 9999",31800000,34800000,3000000,3180000,3480000,1241.1,32300000,35300000,"23:30"
"03/03/2016","2016-03-03","Thứ Năm","Vàng nhẫn SJC 9999",32200000,35200000,3000000,3220000,3520000,1257.4,32700000,35700000,"23:30"
"04/03/2016","2016-03-04","Thứ Sáu","Vàng nhẫn SJC 9999",32600000,35600000,3000000,3260000,3560000,1269.9,33100000,36100000,"23:30"
"07/03/2016","2016-03-07","Thứ Hai","Vàng nhẫn SJC 9999",32400000,35400000,3000000,3240000,3540000,1263.2,32900000,35900000,"23:30"
"08/03/2016","2016-03-08","Thứ Ba","Vàng nhẫn SJC 9999",32400000,35400000,3000000,3240000,3540000,1262.1,32900000,35900000,"23:30"
"09/03/2016","2016-03-09","Thứ Tư","Vàng nhẫn SJC 9999",32200000,35200000,3000000,3220000,3520000,1256.6,32700000,35700000,"23:30"
"10/03/2016","2016-03-10","Thứ Năm","Vàng nhẫn SJC 9999",32600000,35600000,3000000,3260000,3560000,1272,33100000,36100000,"23:30"
"11/03/2016","2016-03-11","Thứ Sáu","Vàng nhẫn SJC 9999",32300000,35300000,3000000,3230000,3530000,1258.7,32800000,35800000,"23:30"
"14/03/2016","2016-03-14","Thứ Hai","Vàng nhẫn SJC 9999",31900000,34900000,3000000,3190000,3490000,1244.4,32400000,35400000,"23:30"
"15/03/2016","2016-03-15","Thứ Ba","Vàng nhẫn SJC 9999",31500000,34500000,3000000,3150000,3450000,1230.4,32000000,35000000,"23:30"
"16/03/2016","2016-03-16","Thứ Tư","Vàng nhẫn SJC 9999",31500000,34500000,3000000,3150000,3450000,1229.3,32000000,35000000,"23:30"
"17/03/2016","2016-03-17","Thứ Năm","Vàng nhẫn SJC 9999",32400000,35400000,3000000,3240000,3540000,1264.5,32900000,35900000,"23:30"
